ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
24,simple,12345,Maggi 2Minute Noodles,1,0,visible,hello here another description,testing description,,,taxable,,1,13,5,0,0,,,,,1,,,2.99,New Products,,,http://192.168.64.2/wp-content/uploads/2020/04/Spicy-Maggie.jpg,,,,,,,,,0,,,,
25,simple,12345-1,Red Label,1,0,visible,hello here another description,,,,taxable,,1,19,5,0,0,,,,,1,,,2.99,New Products,,,"http://192.168.64.2/wp-content/uploads/2020/04/Red-Label-.jpg, http://192.168.64.2/wp-content/uploads/2020/04/Red-Label-.jpg",,,,,,,,,0,,,,
26,simple,12345-2,Ashirvaad aata,1,0,visible,hello here another description,testing description,,,taxable,,1,19,5,0,0,,,,,1,,,2.99,New Products,,,"http://192.168.64.2/wp-content/uploads/2020/04/Aashirvaad-Aata-1.jpg, http://192.168.64.2/wp-content/uploads/2020/04/Aashirvaad-Aata.jpg",,,,,,,,,0,,,,
38,simple,12345-2-1-1,Ashirvaad aata (Copy),1,0,visible,hello here another description,testing description,,,taxable,,1,20,5,0,0,,,,,1,,,2.99,New Products,,,"http://192.168.64.2/wp-content/uploads/2020/04/Aashirvaad-Aata-1.jpg, http://192.168.64.2/wp-content/uploads/2020/04/Aashirvaad-Aata.jpg",,,,,,,,,0,,,,
39,simple,12345-3,Maggi 2Minute Noodles (Copy),1,0,visible,hello here another description,testing description,,,taxable,,1,19,5,0,0,,,,,1,,,2.99,Sale,,,http://192.168.64.2/wp-content/uploads/2020/04/Spicy-Maggie.jpg,,,,,,,,,0,,,,
40,simple,12345-1-1,Red Label (Copy),1,0,visible,hello here another description,,,,taxable,,1,19,5,0,0,,,,,1,,,2.99,"Dairy, Sale",,,"http://192.168.64.2/wp-content/uploads/2020/04/Red-Label-.jpg, http://192.168.64.2/wp-content/uploads/2020/04/Red-Label-.jpg",,,,,,,,,0,,,,
4469,"simple, virtual",,Maggie -- 2 Minute Noodles (Masala),1,0,visible,,Various Sizes,,,taxable,,1,50,,0,0,70,,,,1,,,,New Products,popular,,,,,,,,,,,0,Size,70,1,0
4471,"simple, virtual",,Swad -- Toor Dal (Split Pigeon Peas),1,0,visible,,Various Sizes,,,taxable,,1,6,,0,0,907.18474,,,,1,,,,Dal,"dal, popular\,",,,,,,,,,,,0,Size,2,1,0
4474,"simple, virtual",,Brooke Bond Red Label,1,0,visible,,Various Sizes,,,taxable,,1,4,,0,0,100,,,,1,,,,Dairy,"dairy, popular\,",,,,,,,,,,,0,Size,100,1,0
4478,"simple, virtual",,Aashirvaad -- Whole Wheat Atta,1,0,visible,,Various Sizes,,,taxable,,1,5,,0,0,9071.8474,,,,1,,,,Flour,"flour, popular\,",,,,,,,,,,,0,Title,Default Title,1,0
4479,"simple, virtual",,Desi Natural Dhai -- Whole Milk Yogurt,1,0,visible,,Various Sizes,,,taxable,,1,2,,0,0,907.18474,,,,1,,,,Dairy,"dairy, popular\,",,,,,,,,,,,0,Title,Default Title,1,0
4480,"simple, virtual",,Royal -- Basmati Rice,1,0,visible,,Various Sizes,,,taxable,,1,100,,0,0,20,,,,1,,,,New Products,popular,,,,,,,,,,,0,Title,Default Title,1,0
4481,"simple, virtual",,Laxmi -- Pure Cow Ghee,1,0,visible,,Various Sizes,,,taxable,,1,50,,0,0,16,,,,1,,,,Dairy,"dairy, popular\,",,,,,,,,,,,0,Title,Default Title,1,0
4482,"simple, virtual",,Boost 450g,1,0,visible,,,,,taxable,,1,200,,0,0,450,,,,1,,,,Dairy,"dairy, popular\,",,,,,,,,,,,0,Title,Default Title,1,0
4483,"simple, virtual",,Laxmi -- Urad Dal Split,1,0,visible,,Various Sizes,,,taxable,,1,50,,0,0,2,,,,1,,,,Dal,dal,,,,,,,,,,,0,Title,Default Title,1,0
4484,"simple, virtual",,Laxmi -- Kabuli Chana,1,0,visible,,Various Sizes,,,taxable,,1,30,,0,0,2,,,,1,,,,Dal,dal,,,,,,,,,,,0,Size,2,1,0